đất nước ,나라
Hàn,한국
Trung Quốc,중국
Úc,호주
Nam Hàn,남한
Mĩ,미국
Nhật,일본
Anh,영국
Pháp,프랑스
Việt Nam,베트남
Thái,태국
Bắc Hàn,북한
Đài Loan,태만
Giáo viên,선생님
Giáo sư,교수님
Học sinh,학생
Trường học,학교
Đại học,대학교
Phòng nghiên cứu,연구실
Học sinh cấp 1,초등학생
Học sinh cấp 2,중학생
Học sinh cấp 3,고등
sinh viên đại học,대학생
sinh viên cao học,대학원생
nghiên cứu sinh,연구생
Thực tập sinh,인던
Giám đốc 1,감독님
Giám đốc 2,서장님
Kỹ sư 1,기술자
Kỹ sư 2,엔지니어
Lập trình viên,프로그래머
Nhân viên nhân sự,인사원
Bác sĩ,의사
Nhân viên ngân hàng,은행원
Chủ quán,사장님
Y tá,간호사
Cảnh sát,경찰관
đồn cảnh sát,경찰소
công chức,공무원
nhân viên công ty 1,회사원
đầu bếp,요리사
nhân viên công ty 2,직원
Thành thị,도시
quê hương,고향
Thủ đô,수도
tuổi 1,나이
tuổi 2,연서
tuổi 3,살
Bàn,책상
ghế,의자
sách,잭
Sách giáo khoa,교과서
Vở,공책
Bút,펜
Bút bi,볼펜
Bút chì,영필
Cục tẩy,지우개
cái cặp,가방
Đồng hồ,시계
máy ảnh,카메라
Mũ,모자
ô che nắng,양산
ô che mưa,우산
cái kính,안경
từ điển,사전
tờ báo,신문
lò vi sóng,전자렌지
vòi nước,수도꼭지
vòi hoa sen,샤워기
cái kéo,가위
cái dao,칼
cái thớt,도마
laptop,노트북
chảo,프라이팬
ăn ,먹다
là ,이다
xinh,예쁘다
sảng khoái mát mẻ,시원하다
ấm áp,따뜿하다
ngồi,앉다
đi,가다
đến,오다
tự học,공부하다
được dạy học,배우다
uống,마시다
nghe,듣다
nhìn,보다
phim lẻ,영화
phim bộ,드라마
nói,말하다
đọc,읽다
viết,쓰다
ngủ,자다
nghỉ ngơi,쉬다
"chơi, đi chơi với",놀다
chơi game,게임하다
chơi guitar,기타치다
chơi bóng đá,축구하다
dạy,가르치다
bật,켸다
tắt,끄다
đứng,서다
nằm,눕다
đi,츨발하다
đến,도착하다
kéo,당기다
đẩy,밀다
chạy,달리다
đi,걷다
mở,열다
đóng,닫다
tẩy,지우다
đi dạo,산책하다
nấu,요리하다
đi xe,타다
lái,운전하다
sử dụng,사용하다
thích,좋다
yêu,사랑하다
ghét 1,싫다
ghét 2,미워하다
dậy,일어나다
nhà,집
trung tâm thương mại,백화점
chợ,시장
công viên,공원
kịch trường,극장
rạp phim,영화관
nhà hàng,식당
công ty,회사
phòng học,강의실
sân vận động,운농장
phòng gym,헬스장
1 hán,일
1 hàn,하다
2 hán,이
2 hàn,둘
3 hán,삼
3 hàn,셋
4 hán,사
4 hàn,넷
5 hán,오
5 hàn,다섯
6 hán,육
6 hàn,여셋
7 hán,칠
7 hàn,일곱
8 hán,팔
8 hàn,여덟
9 hán,구
9 hàn,아홉
10 hán,십
10 hàn,열
11 hán,십일
11 hàn,열하나
21 hán,이십일
21 hàn,스물하나
20 hán,이십
20 hàn,스물
30 hán,삼십
30 hàn,서른
40 hán,사십
40 hàn,마흔
50 hán,오십
50 hàn,쉰
60 hán,육십
60 hàn,예순
70 hán,칠십
70 hàn,일흔
80 hán,팔십
80 hàn,여든
90 hán,구십
90 hàn,아흔
100 hán,백
100 hàn,박
chuẩn bị,준비하다
điện thoại,휴대폰
mọi người,여러분
bạn,친구
gặp gỡ,만나다
kí túc xá,기숙사
thư viện,도서관
bia ,맥주
rượu,소주
hỏi cái nào?,어느
hỏi cái gì?,무엇
hỏi nào cái gì?,무슨
hỏi ở đâu?,어디
hỏi khi nào?,언제
hỏi mấy?,몇
hỏi tại sao?,왜
hỏi như thế nào?,어떻개
hỏi nào?,어떤
hỏi bao nhiêu?,얼마다
hỏi ai (obj)?,누구예요
hỏi ai (sub)?,누가예요
cái này,이것
cái đó,그것
cái kia,저것
người này,이사람
người đó,그사람
người kia,저사람
ở đây,여기는
ở đó,거기
ở kia,저기
phòng thí nghiệm,연구실
nhà vệ sinh,화장실
bệnh viện,벼원
điểm đến (du lịch),여행지
bơi,수영하다
quần áo,옷
mua,사다
bài tập về nhà,숙제
vất vả,수고하
công viên,공원
công việc,긱업이
bây giờ,지금
đi mua sắm,쇼핑하다
cà phê,커피
